chapter,character,Lines,id,Book,book_num,chapter_num,writer,director,imdb_rating,Episode
"Sozin's Comet, Part 4: Avatar Aang",Zuko,11,13379,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Zuko,11,13374,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Zuko,11,13372,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Zuko,11,13370,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Zuko,11,13365,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Zuko,11,13363,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Zuko,11,13361,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Zuko,11,13359,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Zuko,11,13347,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Zuko,11,13345,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Zuko,11,13318,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Ty Lee,2,13357,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Ty Lee,2,13354,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Toph,9,13384,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Toph,9,13342,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Toph,9,13340,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Toph,9,13337,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Toph,9,13335,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Toph,9,13309,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Toph,9,13304,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Toph,9,13301,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Toph,9,13299,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Suki,4,13381,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Suki,4,13356,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Suki,4,13341,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Suki,4,13332,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Sokka,14,13382,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Sokka,14,13378,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Sokka,14,13376,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Sokka,14,13355,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Sokka,14,13353,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Sokka,14,13350,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Sokka,14,13338,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Sokka,14,13331,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Sokka,14,13310,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Sokka,14,13308,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Sokka,14,13306,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Sokka,14,13303,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Sokka,14,13300,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Sokka,14,13298,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Ozai,9,13373,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Ozai,9,13371,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Ozai,9,13369,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
"Sozin's Comet, Part 4: Avatar Aang",Ozai,9,13339,Fire,3,21,"Aaron Ehasz, Michael Dante DiMartino, Bryan Konietzko",Joaquim Dos Santos,9.8,61
